timestamp,actual,predicted,persistence
2024-12-24 00:00:00,0.1213,0.1272,0.1601
2024-12-24 01:00:00,0.0935,0.089,0.1213
2024-12-24 02:00:00,0.0699,0.0741,0.0935
2024-12-24 03:00:00,0.0668,0.0768,0.0699
2024-12-24 04:00:00,0.0974,0.1012,0.0668
2024-12-24 05:00:00,0.2025,0.204,0.0974
2024-12-24 06:00:00,0.376,0.4061,0.2025
2024-12-24 07:00:00,0.5852,0.5801,0.376
2024-12-24 08:00:00,0.6535,0.6677,0.5852
2024-12-24 09:00:00,0.5644,0.5758,0.6535
2024-12-24 10:00:00,0.4516,0.4823,0.5644
2024-12-24 11:00:00,0.4628,0.453,0.4516
2024-12-24 12:00:00,0.5325,0.4731,0.4628
2024-12-24 13:00:00,0.6029,0.4868,0.5325
2024-12-24 14:00:00,0.4674,0.5406,0.6029
2024-12-24 15:00:00,0.4929,0.5149,0.4674
2024-12-24 16:00:00,0.5968,0.5927,0.4929
2024-12-24 17:00:00,0.6686,0.6836,0.5968
2024-12-24 18:00:00,0.6892,0.6456,0.6686
2024-12-24 19:00:00,0.542,0.5505,0.6892
2024-12-24 20:00:00,0.4536,0.4143,0.542
2024-12-24 21:00:00,0.3717,0.3314,0.4536
2024-12-24 22:00:00,0.2825,0.2654,0.3717
2024-12-24 23:00:00,0.159,0.2083,0.2825
2024-12-25 00:00:00,0.1302,0.1286,0.159
2024-12-25 01:00:00,0.0827,0.0985,0.1302
2024-12-25 02:00:00,0.0743,0.0714,0.0827
2024-12-25 03:00:00,0.069,0.0777,0.0743
2024-12-25 04:00:00,0.095,0.1006,0.069
2024-12-25 05:00:00,0.2017,0.2061,0.095
2024-12-25 06:00:00,0.3814,0.4071,0.2017
2024-12-25 07:00:00,0.5477,0.5775,0.3814
2024-12-25 08:00:00,0.6708,0.6526,0.5477
2024-12-25 09:00:00,0.5804,0.5842,0.6708
2024-12-25 10:00:00,0.4378,0.4822,0.5804
2024-12-25 11:00:00,0.4302,0.4591,0.4378
2024-12-25 12:00:00,0.4704,0.4792,0.4302
2024-12-25 13:00:00,0.455,0.4659,0.4704
2024-12-25 14:00:00,0.4424,0.4508,0.455
2024-12-25 15:00:00,0.4855,0.4841,0.4424
2024-12-25 16:00:00,0.5807,0.5993,0.4855
2024-12-25 17:00:00,0.6549,0.6716,0.5807
2024-12-25 18:00:00,0.6321,0.656,0.6549
2024-12-25 19:00:00,0.5061,0.5027,0.6321
2024-12-25 20:00:00,0.3517,0.3851,0.5061
2024-12-25 21:00:00,0.2944,0.3076,0.3517
2024-12-25 22:00:00,0.2204,0.2404,0.2944
2024-12-25 23:00:00,0.1565,0.1636,0.2204
2024-12-26 00:00:00,0.1159,0.1232,0.1565
2024-12-26 01:00:00,0.0869,0.0885,0.1159
2024-12-26 02:00:00,0.0815,0.0677,0.0869
2024-12-26 03:00:00,0.068,0.0812,0.0815
2024-12-26 04:00:00,0.099,0.1074,0.068
2024-12-26 05:00:00,0.2013,0.2188,0.099
2024-12-26 06:00:00,0.3836,0.4045,0.2013
2024-12-26 07:00:00,0.5707,0.5807,0.3836
2024-12-26 08:00:00,0.6512,0.6579,0.5707
2024-12-26 09:00:00,0.6554,0.5743,0.6512
2024-12-26 10:00:00,0.4663,0.4935,0.6554
2024-12-26 11:00:00,0.4567,0.4592,0.4663
2024-12-26 12:00:00,0.5041,0.463,0.4567
2024-12-26 13:00:00,0.4679,0.4831,0.5041
2024-12-26 14:00:00,0.4523,0.4707,0.4679
2024-12-26 15:00:00,0.5159,0.4981,0.4523
2024-12-26 16:00:00,0.6035,0.6412,0.5159
2024-12-26 17:00:00,0.6747,0.6861,0.6035
2024-12-26 18:00:00,0.703,0.6509,0.6747
2024-12-26 19:00:00,0.4958,0.5536,0.703
2024-12-26 20:00:00,0.4718,0.3836,0.4958
2024-12-26 21:00:00,0.2875,0.3214,0.4718
2024-12-26 22:00:00,0.2219,0.2394,0.2875
2024-12-26 23:00:00,0.1642,0.1688,0.2219
2024-12-27 00:00:00,0.1216,0.1319,0.1642
2024-12-27 01:00:00,0.0839,0.0944,0.1216
2024-12-27 02:00:00,0.0627,0.0723,0.0839
2024-12-27 03:00:00,0.0698,0.0719,0.0627
2024-12-27 04:00:00,0.1009,0.102,0.0698
2024-12-27 05:00:00,0.2206,0.211,0.1009
2024-12-27 06:00:00,0.4402,0.4129,0.2206
2024-12-27 07:00:00,0.6086,0.6021,0.4402
2024-12-27 08:00:00,0.6875,0.6867,0.6086
2024-12-27 09:00:00,0.569,0.5839,0.6875
2024-12-27 10:00:00,0.4911,0.4853,0.569
2024-12-27 11:00:00,0.4842,0.4791,0.4911
2024-12-27 12:00:00,0.4881,0.4926,0.4842
2024-12-27 13:00:00,0.5033,0.4868,0.4881
2024-12-27 14:00:00,0.5098,0.4789,0.5033
2024-12-27 15:00:00,0.5205,0.5215,0.5098
2024-12-27 16:00:00,0.602,0.6164,0.5205
2024-12-27 17:00:00,0.6912,0.7116,0.602
2024-12-27 18:00:00,0.6566,0.6737,0.6912
2024-12-27 19:00:00,0.5362,0.5166,0.6566
2024-12-27 20:00:00,0.3976,0.3951,0.5362
2024-12-27 21:00:00,0.3135,0.3216,0.3976
2024-12-27 22:00:00,0.269,0.2444,0.3135
2024-12-27 23:00:00,0.1898,0.2061,0.269
2024-12-28 00:00:00,0.1009,0.1122,0.1898
2024-12-28 01:00:00,0.0686,0.0912,0.1009
2024-12-28 02:00:00,0.0577,0.0624,0.0686
2024-12-28 03:00:00,0.0506,0.0619,0.0577
2024-12-28 04:00:00,0.0665,0.0828,0.0506
2024-12-28 05:00:00,0.165,0.1666,0.0665
2024-12-28 06:00:00,0.3279,0.3276,0.165
2024-12-28 07:00:00,0.4525,0.4571,0.3279
2024-12-28 08:00:00,0.5235,0.5504,0.4525
